sequencing_id	P122	P127	P13	P137	P153	P155	P157	P184	P190	P198	P20	P205	P211	P218	P225	P231	P237	P243	P249	P256	P26	P262	P33	P44	P5	P63	P75	P81	P84
group	FOS	FOS	FOS	FOS	FOS	FOS	FOS	FOS	FOS	Control	FOS	Control	Control	Control	Control	Control	Control	Control	Control	Control	FOS	Control	FOS	FOS	FOS	Control	Control	Control	Control
Bacteroides	520107.747575941	645649.528863645	2493.47949472834	14164.5425653205	812618.239495073	920214.878753001	296937.111587394	777157.954245084	24677.1482164995	520306.574850868	642154.349741911	276708.680226345	315621.373171044	394.966166654825	267196.394633736	600572.905615494	478873.719931318	633651.30950053	172523.011179083	327342.707140546	30379.5134766035	715460.337930689	277086.715951097	647664.145940882	351539.144074931	24949.9062469697	2258.5310471186	711.636865537267	892004.596095762
Faecalibacterium	42.9636947381155	1151.23226545892	280.255839403834	15.3130189895356	32.0510186471183	21.9881651656394	6604.20953423169	686.488147708776	253.132241042472	153.414443860733	156.61588820345	99.733787505658	6153.02163945704	77.3214188689339	511.555275991021	88.5698321139578	32653.7803373803	8473.54621381813	216.241204197156	4651.13406494912	3575.48729355745	1350.71197771814	197.270253748422	76.6310606928195	8159.22678013407	54.8289834162716	5.7178001192876	17.4016736746565	132.887482841509
Ruminococcus	462.933810803194	6224.9930185172	13482.9261534977	187.932505780665	305.306498138575	1154.73331902132	2441.54241316526	715.576628543894	179.572444500215	9358.87647438128	6621.17587813169	1368.57959064987	7930.41986333106	37.6158253956976	10094.9224215888	268.790186154533	1425.20151060416	8822.45907933004	216.692647212181	49085.0106256768	365.06841090936	11163.2148189497	127.690435565839	1919.51461784209	4020.68997231899	144.096006003094	271.952868173617	227.137635332358	154.157904025332
Roseburia	31.4172017772469	14548.7802427186	11398.8936046301	37.5865011561329	11915.171637314	45.6313535157894	477.947483147677	130.771692102225	93.0315073916778	1121.53301715007	218.053632128919	117.322860724292	387.12680686155	12.5386084652325	19642.1982440338	7447.18253587752	153.078950705268	1539.19846951072	234.298924798171	6698.16830997473	670.707080507894	431.613237967845	89.2686128880939	1544.68508372156	1758.77645381811	91.9858151529185	77.5476641178381	17.4016736746565	523.54719864341
Alistipes	689.29877745464	863.274220946008	36.3421190121232	563.797517341994	119.369498935742	27.8989622531769	102.611000413013	1011.52030312726	1170.46617439297	1849.90430947722	506.609593352638	780.842580227225	24411.0259803208	39.7055934732363	601.223159600314	1222.52040732367	106995.160854159	258.63916164184	615.542550987103	52827.3024020727	121.285186348625	616.880585480373	4458.07835069834	140.348683220109	7030.92524680325	155.424308361828	103.277764654632	4.57938780912013	446.88944308983
Blautia	2479.40797102743	5021.46837205819	327142.185635544	3194.8525982713	13795.4980646116	32469.6634250279	22345.2222234591	1959.55183504049	376.453076422138	23561.322809592	7051.57581098661	13660.3478856718	13373.3682429021	16.71814462031	174202.280881955	12895.5108316412	684.126449158096	49222.0779479342	374.020537948526	38842.0550219182	4081.24652063122	21794.7542547364	433.918096907865	69912.5046598821	30334.2048123767	547.383569974017	1070.6580723366	2879.51905437473	2512.64747667519
unclassified_Lachnospiraceae	2643.47558030861	11596.9103301649	52711.4524612045	846.392322330697	824.90281966782	813.089247361657	15509.6741194506	6071.90419519129	1371.67385317032	8741.2493730946	927.77707834991	43546.2415799329	14543.2681794828	14.6283765427713	62024.5080259481	12970.7310079003	2942.54763231247	23764.1661759795	341.065197851673	26832.8818072059	1368.09690201249	10012.690622831	107.619334167017	48710.5082423417	18149.4295614324	1630.36927546897	355.218332410742	631.955517658577	1012.76688587134
Clostridium	9131.26200885616	16621.578236051	60552.4640070615	368.904548384268	1678.98028451443	1323.54568384139	22422.8583628536	2421.93220866306	2730.36656577436	11156.3856827211	5422.30055814344	27667.0508195105	40495.8721809064	397.055934732363	31814.6134439955	9854.61326239532	5808.69089867275	26434.1950608375	329.327679461013	54794.3055147305	2845.35047173873	12042.3140971055	207.783687814471	21904.9292292614	13735.9921296844	2948.07740583689	404.534358439598	329.715922256649	623.791955905785
Parabacteroides	277149.127924267	38639.9701563482	88.1780567880357	36.1944085207206	19648.5071621699	5241.93128911174	191.521505638753	65805.4790050728	5079.95300827115	83046.8307017034	59485.5008602963	201786.151673572	165046.425114534	22.9874488529263	1104.7083260665	2426.94176199797	56777.5637870057	17483.6436866908	712823.554851906	21149.1274001057	7256.49269923821	70496.0034823658	682015.260918584	7557.24985905662	27769.3695623657	1808.45018854826	30.0184506262599	12.8222858655364	12096.5517067091
Oscillibacter	129.15960730646	366.046667000618	327.648696798954	50.1153348748439	70.4711499741126	3.31004636902099	52394.9750008777	507.404283089095	406.742404410126	180.604325890384	53.7160602627051	491.371343320559	3281.03600040757	8.35907231015502	601.895668727384	316.669240326281	3588.10034764324	469.368714079725	300.435326499389	35845.1335828323	81.2610748535785	164.442230999811	12.6161208792595	646.861303897038	52088.188300939	38.0630959253456	3.57362507455475	12.8222858655364	257.772232960392
unclassified_Clostridiales_(miscellaneous)	4481.51614582361	1287.21245314558	3395.42481202922	249.184581738807	2742.00573631052	75.1853389534768	7438.08446526539	3139.53238369983	655.547598597171	3175.26220870358	181.459566074951	4690.4818975691	6463.13202171409	14.6283765427713	6044.624118957	2829.74195500319	3940.73588280719	3294.76291607155	178.77143395005	12233.3118523083	2063.0610197901	3355.89133657376	128.07274225915	1201.28957671449	7477.22917797256	465.366660896785	98.9894145651667	38.4668575966091	562.507871108829
Eubacterium	1408.40361813385	9589.70278030491	1200.20132850382	52.8995201456686	97.7966979232584	469.790152517479	9030.19617681973	333.379284701609	162.264257078508	568.208994532055	59.2555289772966	288.348530105476	11399.3395898387	20.8976807753875	5827.73992547702	272.384324269302	292.579406665717	6366.0688692905	137.012955060202	52022.0373829022	342.024225503121	1367.72762169804	32.1137622381151	752.037859482083	10343.6302994496	61.1728327371625	115.070727400663	24.7286941692487	294.626923130383
Collinsella	1.07409236845289	200.77074770206	48.0764082229342	22.2734821665973	306.744684872741	45.6313535157894	81.346690174433	216.519474737919	30.2893279879881	252.052191077789	909.480045322926	8096.21297897713	125.066494822349	4.17953615507751	161.850529914775	7.95844868270345	72.4861933392552	90.819164316414	9.25458180802025	699.950739680021	747.116747907527	35546.8231157777	46.8325699305846	5.26732346225589	15978.0197008724	50.2976624727781	6.78988764165403	1.83175512364805	4.42256282039888
