Sample	raw_reads	trimmed_reads	trimmed_frac	deduplicated_reads	deduplicated_frac	host_removed_reads	host_removed_frac	orphan_reads	orphan_frac
P186	39120375	34708496	0.887	20284728	0.519	15175994	0.388	8781098	0.224
P185	32552993	29014149	0.891	13628088	0.419	10200750	0.313	8756880	0.269
P26	24582674	18761011	0.763	14880147	0.605	979158	0.04	326973	0.013
P70	34414471	31587141	0.918	21876124	0.636	6028487	0.175	4721463	0.137
P50	49850136	42773413	0.858	18422826	0.37	8083194	0.162	11323073	0.227
P218	23583849	21143291	0.897	18805052	0.797	481785	0.02	112042	0.005
P114	33422542	30685436	0.918	14397688	0.431	12339950	0.369	10638534	0.318
P219	20389753	18756258	0.92	7791957	0.382	5777258	0.283	7057771	0.346
P49	29583753	27288626	0.922	11375363	0.385	7802184	0.264	8718340	0.295
P63	16086076	14497022	0.901	4090933	0.254	2217183	0.138	4706903	0.293
P253	93489045	83365435	0.892	26258209	0.281	17557692	0.188	22179195	0.237
